ID	Leftover	Build	Cover Dependence	Cover Data	Previous Setup	Setup	Next Setup	Pieces	Solve %	Solve Fraction	Mirror
1001FEFAFD	TILJSZO	LZO	*p4{LZO=1}	0C30000FF0C30000FFFFFFFF		v115@9gilGeglBtGeRpBtFeRpReAgH		[^LZO]!,*p3	98.49%	4964/5040	1001FFAEFD
1001FEFAFE	TILJSZO	LZO	*p4{LZO=1}	CB2FFFFFFCB20FF03CAFFA3C		v115@GhAtHeBtRpFeAtglRpEeilJeAgH		[^LZO]!,*p3	97.30%	4904/5040	1001FFAEFE
1001FEFAFF	TILJSZO	LZO	*p4{LZO=1}	34D00FF0F34DFFFFFF50F5FF		v115@9gilGeglAtHeBtFeRpAtGeRpJeAgH		[^LZO]!,*p3	91.03%	4588/5040	1001FFAEFF
1001FFABFD	TILJSZO	JSZ	*p4{JSZ=1}	82082AFF1E80FF00001E0020		v115@9gQ4BtGeR4BtFeg0Q4Hei0QeAgH		[^JSZ]!,*p3	99.01%	4990/5040	1001FEEBFD
1001FFABFE	TILJSZO	JSZ	*p4{JSZ=1}	34D340FF1E3FFFFFD51EFF4D		v115@Ehi0HeQ4g0FeBtR4GeBtQ4JeAgH		[^JSZ]!,*p3	98.49%	4964/5040	1001FEEBFE
1001FFABFF	TILJSZO	JSZ	*p4{JSZ=1}	CB2CBFFFFFC0FF1E2AFF1EB2		v115@9gQ4IeR4Heg0Q4BtFei0BtOeAgH		[^JSZ]!,*p3	86.87%	4378/5040	1001FEEBFF
1001FFAEFC	TILJSZO	JSO	[JSZO]!{J<S||JS<Z}	1		v115@9gQ4IeR4Heg0Q4FeRpi0EeRpJeAgH	1000259AFF:1001BFAAFC:1001BFAAFD	NULL	NULL	NULL	1001FEFAFC
1001FFAEFD	TILJSZO	JSO	*p4{JSO=1}	0C30C0003FC0003FC3FFFFFF		v115@Ehi0GeR4g0FeR4RpHeRpJeAgH		[^JSO]!,*p3	98.57%	4968/5040	1001FEFAFD
1001FFAEFE	TILJSZO	JSO	*p4{JSO=1}	CB2CBFFFFFC0FF07B2ABFC7A		v115@9gQ4IeR4Heg0Q4FeRpi0EeRpJeAgH		[^JSO]!,*p3	97.30%	4904/5040	1001FEFAFE
1001FFAEFF	TILJSZO	JSO	*p4{JSO=1}	34D340FF07BFFFFFCD547BFD		v115@Ehi0HeQ4g0RpFeR4RpGeQ4JeAgH		[^JSO]!,*p3	91.03%	4588/5040	1001FEFAFF
1001FFBAFE	TILJSZO	JZO	*p4{JZO=1}	1C71C003FFC7543DFFFFFFFF		v115@9gg0Iei0AtFeRpBtFeRpAtQeAgH		[^JZO]!,*p3	89.60%	4516/5040	1001FEEEFE
1001FFBAFF	TILJSZO	JZO	*p4{JZO=1}	E38E3FFFFFF8ABFE1E03FC1E		v115@OhRpg0EeBtRpg0FeBth0JeAgH		[^JZO]!,*p3	88.25%	4448/5040	1001FEEEFF
1001FFEAFF	TILJSZO	SZO	*p4{SZO=1}	1		v115@KhAtFeRpBtR4DeRpAtR4OeAgH		[^SZO]!,*p3	96.43%	4860/5040	NULL
10023AFFFF	TILJSZO	IL	[TILJ]!{3:IL=1},Z	1		v115@9gwhIewhIewhHeglwhFeilJeAgH	1001AAFBFA:1001AAFBFB:1001AAFBFC:1001AAFBFD:1001AAFBFF:1001BABBFD:1001EAFFFE:1001EAFFFF:1001FABFFC:1001FABFFE	NULL	NULL	NULL	10023BBFFF
10023BBFFF	TILJSZO	IJ	[TILJ]!{3:IJ=1},S	1		v115@GhwhIewhg0Hewhi0FewhJeAgH	1001ABAFFA:1001ABAFFB:1001ABAFFC:1001ABAFFD:1001ABAFFF:1001BAAFFD:1001EBBFFE:1001EBBFFF:1001FABFFB:1001FABFFD	NULL	NULL	NULL	10023AFFFF
