ID	Leftover	Build	Cover Dependence	Cover Data	Previous Setup	Setup	Next Setup	Pieces	Solve %	Solve Fraction	Mirror
6845BB7BFF	TIJJSZ	IJJZ	J,[TIJSZ]p4{IJZ=1}	1		v115@DhzhHeAtg0Deg0BeBtg0Dei0Ath0JeAgH		[TS]!,*p5	96.90%	4884/5040	6625B9EFFF
6845BBABFF	TIJJSZ	IJSZ	J,[TIJSZ]p4{ISZ=1}	1		v115@9gwhQ4HewhR4Gewhg0Q4BtEewhi0BtNeAgH		[TJ]!,*p5	100.00%	5040/5040	6625BAEBFF
6845BF6BFF	TIJJSZ	JJSZ	J,[TIJSZ]p4{JSZ=1}	1		v115@9gQ4IeR4Heg0Q4BtCel0BtDeg0JeAgH		[TI]!,*p5	92.18%	4646/5040	6625BDEBFF
6845FFABFF	TIJJSZ	JSZ	J,[TIJSZ]p3{SZ=1}	1		v115@9gQ4IeR4Heg0Q4BtFei0BtOeAgH		[TIJ]!,*p4	97.94%	4936/5040	6625FEEBFF
6849BB6FFF	TIJJSO	IJJS	J,[TIJSO]p4{IJS=1}	1		v115@9gQ4HewhR4Gewhg0Q4Dei0whi0Eeg0whJeAgH		[TO]!,*p5	96.83%	4880/5040	6631B9FBFF
6849BB7EFF	TIJJSO	IJJO	J,[TIJSO]p4{IJO=1}	1		v115@9gwhRpg0FewhRpg0Fewhi0Fewhi0PeAgH		[TS]!,*p5	98.65%	4972/5040	6631B9FEFF
6849BBAEFE	TIJJSO	IJSO	J,[TIJSO]p4{ISO=1}	1C0FC74DFFFF		v115@DhzhFeR4RpEeR4g0RpGei0JeAgH		[TJ]!,*p5	99.96%	5038/5040	6631BAFAFE
6849BBAEFF	TIJJSO	IJSO	J,[TIJSO]p4{ISO=1}	1		v115@9gwhQ4HewhR4Gewhg0Q4EeRpwhi0DeRpJeAgH		[TJ]!,*p5	99.56%	5018/5040	6631BAFAFF
6849BF6EFF	TIJJSO	JJSO	J,[TIJSO]p4{JSO=1}	1		v115@9gRpg0GeRpg0Gei0AeR4Dei0R4OeAgH		[TI]!,*p5	96.03%	4840/5040	6631BDFAFF
6851BB7BFE	TIJJZO	IJJZ	J,[TIJZO]p4{IJZ=1}	4D6F46F3FFD3		v115@9gi0whFeBtg0whFeg0BtwhFei0whPeAgH		[TO]!,*p5	98.81%	4980/5040	6629B9EFFE
6851BB7BFF	TIJJZO	IJJZ	J,[TIJZO]p4{IJZ=1}	1		v115@Ehh0whGeh0whBeBtCeh0whCeBtBeh0whJeAgH		[TO]!,*p5	94.96%	4786/5040	6629B9EFFF
6851BB7EFF	TIJJZO	IJJO	J,[TIJZO]p4{IJO=1}	1		v115@9gwhRpg0FewhRpg0Fewhi0Fewhi0PeAgH		[TZ]!,*p5	98.65%	4972/5040	6629B9FEFF
6851BBBAFE	TIJJZO	IJZO	J,[TIJZO]p4{IZO=1}	1		v115@9gzhFeh0AtGeg0BtEeRpg0AtFeRpJeAgH		[TJ]!,*p5	99.88%	5034/5040	6629BAEEFE
6851BBBAFF	TIJJZO	IJZO	J,[TIJZO]p4{IZO=1}	5D4FD74DFFFF		v115@DhzhGeRpg0EeBtRpg0FeBth0JeAgH		[TJ]!,*p5	99.80%	5030/5040	6629BAEEFF
6851BF7AFE	TIJJZO	JJZO	J,[TIJZO]p4{JZO=1}	34D0F3FFF53F		v115@9gi0GeBtg0Geg0BtEeRpi0EeRpJeAgH		[TI]!,*p5	98.97%	4988/5040	6629BDEEFE
6851BF7AFF	TIJJZO	JJZO	J,[TIJZO]p4{JZO=1}	1		v115@9gRpg0GeRpg0Gei0CeBtBei0DeBtKeAgH		[TI]!,*p5	97.94%	4936/5040	6629BDEEFF
6885AEAFFF	TLJJSZ	TLJS	J,[TLJSZ]p4{TLS=1}	1		v115@FhR4glFeR4g0glEeywg0hlEewwh0JeAgH		[JZ]!,*p5	90.40%	4556/5040	6685AEBBFF
6885BE6FFE	TLJJSZ	LJJS	J,[TLJSZ]p4{LJS=1}	1C6F16F7FFC7		v115@9gQ4hlGeR4glGeg0Q4glg0Fel0NeAgH		[TZ]!,*p5	99.33%	5006/5040	6685BDBBFE
